Date,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Administered,Administered_Janssen,Administered_Moderna,Administered_Pfizer
2/24/2022,NH,3264030,175300,1157840,1930890,2627136,114168,978113,1534762
2/24/2022,WA,16804395,746300,6076100,9981995,13818660,480875,5169571,8157294
2/24/2022,GA,20586095,815400,8018540,11752155,14324212,333791,5576631,8375745
2/24/2022,GU,317160,23200,84780,209180,329166,12798,104871,211353
2/24/2022,AZ,14019320,603700,5389720,8025900,11508661,360895,4535732,6587531
2/24/2022,MA,16136690,608300,6121800,9406590,14240010,399645,5577056,8262869
2/24/2022,ND,1311600,52400,499920,759280,1062988,39469,402346,620850
2/24/2022,OH,21898055,970200,8252840,12675015,17195084,617570,6540543,10017016
2/24/2022,AR,5845920,251000,2444560,3150360,4081816,121611,1744775,2211559
2/24/2022,VI,145460,2800,37840,104820,139733,2260,41779,95694
2/24/2022,WI,11050945,450400,4118900,6481645,9846287,332192,3765182,5746674
2/24/2022,MH,81080,12600,52700,15780,52349,2650,44572,5125
2/24/2022,VA,18692805,772200,6597020,11323585,15848582,498903,5607215,9733366
2/24/2022,SC,9970875,449300,4121240,5400335,7253946,227953,2827377,4196458
2/24/2022,BP2,330130,16100,146420,167610,296753,14157,131436,151128
2/24/2022,NM,4239545,186100,1655000,2398445,3757497,117281,1527317,2104548
2/24/2022,MD,14974410,600900,5100700,9272810,11477997,360204,4157732,6943615
2/24/2022,KY,8364175,378600,3456800,4528775,6307433,232973,2594153,3477929
2/24/2022,HI,3313480,124400,1227720,1961360,2798201,70128,1017327,1710454
2/24/2022,AS,92810,600,21500,70710,86358,560,21083,64662
2/24/2022,IN,12572080,593100,4439100,7539880,9181342,301922,3315812,5534200
2/24/2022,WY,931585,48000,409640,473945,730002,28676,319015,381668
2/24/2022,TX,58653495,2603100,21081040,34969355,44254223,1519214,16274808,26455886
2/24/2022,LA,7882490,319900,3214620,4347970,6037879,195559,2479097,3360188
2/24/2022,OK,6967830,321300,2900280,3746250,5713651,151499,2308152,3252598
2/24/2022,FM,151100,12800,86940,51360,103551,13076,73786,16664
